Plazo_Renovado,FLAG_VENTA,Nro_Entidades,Dif_Entidades,Meses_oferta,EDAD,Flag_LimProv,Uso_Linea_LOG,Uso_TrimLinea_LOG,Saldo_Consumo_LOG,SUELDO_ESTIMADO_LOG,ANTIGUEDAD_MES_LOG,Linea_Renovado_LOG,Ahorro_LOG,Prestamo_vigente_LOG,Promed_6Mdeuda_LOG,Deuda_Cubierta_LOG,REGION_CALLAO,REGION_CENTRO,REGION_LIMA BALNEARIO,REGION_LIMA CENTRO,REGION_LIMA ESTE,REGION_LIMA MODERNA,REGION_LIMA NORTE,REGION_LIMA PROVINCIA,REGION_LIMA SUR,REGION_NORTE,REGION_OESTE,REGION_ORIENTE,REGION_SIERRA CENTRAL,REGION_SUR,SEXO_F,SEXO_M,EST_CIVIL_C,EST_CIVIL_D,EST_CIVIL_S,EST_CIVIL_U,EST_CIVIL_V,EST_CIVIL_X,EST_CIVIL_Y,Cluster
12,0,1,-1,21.0,25.0,1,0.0,0.0,5.60624314547686,8.16961956172385,3.1780538303479458,8.235095497258357,7.523481312573497,6.126869184114185,8.230932330697787,0.06944676846013306,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6,0,1,0,9.0,33.0,1,0.0,0.0,9.32375833901174,7.187657164114956,4.04305126783455,7.170888478512505,7.646831391430482,9.32375833901174,7.366655829672549,2.263363899840649,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
36,0,5,-2,15.655198307778628,26.0,1,0.357329629585309,0.2034427588326893,9.911329226089773,8.351138607086154,3.044522437723423,8.962007209588313,9.693321922512176,8.471986598578159,9.234252192022495,1.2765241369733642,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,0,1,1,20.0,51.0,0,0.0,0.0,9.9275038389085,8.802071336535285,5.117993812416755,8.799510901368867,7.3343293503005365,0.0,8.665325798860446,1.4084862886263876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
36,1,1,0,11.0,35.0,0,0.1968267035912278,0.16441409139929158,7.428826239587701,7.647308832356238,4.02535169073515,9.648466262323895,5.733341276897746,7.568379267836522,9.726531575041655,0.10308893757681081,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
36,0,2,-2,11.0,27.0,1,0.18836326884009724,0.0,8.526757309084832,7.8336002236611035,4.02535169073515,9.482731125859004,6.826545223556594,8.339739766019143,9.07415784912372,0.32525960940710985,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0,2,-1,15.0,26.0,1,0.3641409041685335,0.4240938440490367,9.196153208409601,8.40290404501411,3.7612001156935624,9.472781556562168,6.590301048196686,8.798152718107191,9.011259153326211,0.5643571015513504,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12,0,3,-2,18.85271911504732,26.0,1,0.137433401483878,0.13212681692511988,7.684204465312885,7.08058190121429,4.110873864173311,8.268988209506656,0.0,7.531552381407289,9.35242570015553,0.44283282346967356,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,1,3,6.0,24.0,0,0.0,0.0,8.190989254892594,7.892452043520352,4.143134726391533,8.717190933223135,6.3784261836515865,8.195609567288775,7.065043887215503,0.46422257611260664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
12,0,1,-1,6.0,23.0,1,0.13806832658453339,0.007797197043321165,6.998235632110512,7.669145049638329,3.58351893845611,8.268988209506656,4.6913478822291435,7.183870715062453,7.511615768350852,0.24719986394771853,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
